asian/pacific islander,black,hispanic,white,county,type
,0.0,0.0,0.00847457627118644,Young County,cite_rate_unsafe speed
,0.0,0.0,0.0,Hall County,cite_rate_unsafe speed
0.0,0.0,0.25,0.09090909090909091,Rains County,cite_rate_unsafe speed
0.0,0.0625,0.0,0.0,Hopkins County,cite_rate_unsafe speed
0.0,0.034482758620689655,0.0,0.0,Limestone County,cite_rate_unsafe speed
0.0,0.0,0.05405405405405406,0.07142857142857142,Crockett County,cite_rate_unsafe speed
0.0,0.0,0.0,0.012658227848101266,Garza County,cite_rate_unsafe speed
,0.0,0.0,0.0,Dallam County,cite_rate_unsafe speed
1.0,0.0,0.0,0.06666666666666667,Crosby County,cite_rate_unsafe speed
0.0,0.09375,0.028985507246376812,0.025145067698259187,Lubbock County,cite_rate_unsafe speed
0.0,0.2,0.022988505747126436,0.08080808080808081,Sutton County,cite_rate_unsafe speed
,,0.0,0.0,Lipscomb County,cite_rate_unsafe speed
0.0,0.05128205128205128,0.0,0.015151515151515152,Morris County,cite_rate_unsafe speed
,0.0,0.0,0.019230769230769232,Yoakum County,cite_rate_unsafe speed
0.2,0.02,0.034482758620689655,0.017964071856287425,Waller County,cite_rate_unsafe speed
,0.0,0.0,0.023529411764705882,Hockley County,cite_rate_unsafe speed
,0.0,0.0,0.0,Haskell County,cite_rate_unsafe speed
,0.0,0.0,0.0,McMullen County,cite_rate_unsafe speed
0.0,0.0,0.0,0.014354066985645933,Burleson County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Coleman County,cite_rate_unsafe speed
0.0,0.0,0.0410958904109589,0.0945945945945946,Nueces County,cite_rate_unsafe speed
,0.0,0.0,0.0,Terry County,cite_rate_unsafe speed
0.0,0.0,0.0,0.05555555555555555,Pecos County,cite_rate_unsafe speed
,0.0,0.14736842105263157,0.1724137931034483,La Salle County,cite_rate_unsafe speed
,0.0,0.0,0.0,Parmer County,cite_rate_unsafe speed
,0.0,0.0,0.00966183574879227,Upshur County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Castro County,cite_rate_unsafe speed
0.0,0.0,0.0,0.030303030303030304,McCulloch County,cite_rate_unsafe speed
0.0,0.0,0.06060606060606061,0.08823529411764706,Lamb County,cite_rate_unsafe speed
0.0,0.09090909090909091,0.0,0.0,Red River County,cite_rate_unsafe speed
0.0,0.0,0.0,0.016,Hale County,cite_rate_unsafe speed
0.0,0.0,0.012048192771084338,0.012195121951219513,Martin County,cite_rate_unsafe speed
0.0,0.05555555555555555,0.0,0.0,Sabine County,cite_rate_unsafe speed
0.0,0.0,0.01639344262295082,0.02631578947368421,Ector County,cite_rate_unsafe speed
,0.0,0.0,0.007042253521126761,Archer County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Wheeler County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Menard County,cite_rate_unsafe speed
,,0.0,0.0,Brewster County,cite_rate_unsafe speed
,0.0,0.0,0.0,Mason County,cite_rate_unsafe speed
,0.0,0.0,0.0,Dickens County,cite_rate_unsafe speed
0.0,0.0,0.0,0.005555555555555556,Gray County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Gaines County,cite_rate_unsafe speed
0.0,0.0,0.0,0.007194244604316547,Franklin County,cite_rate_unsafe speed
,0.0,0.0,0.0,Dawson County,cite_rate_unsafe speed
,,0.0,0.0,Roberts County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0025906735751295338,Washington County,cite_rate_unsafe speed
,0.0,0.0,0.0,Sterling County,cite_rate_unsafe speed
0.0,0.0,0.010869565217391304,0.0,Refugio County,cite_rate_unsafe speed
,0.0,0.0,0.05555555555555555,Rockwall County,cite_rate_unsafe speed
,0.0,0.0,0.0,Kent County,cite_rate_unsafe speed
0.0,0.0,0.0,0.014705882352941176,Burnet County,cite_rate_unsafe speed
,0.0,0.0,0.0,Collingsworth County,cite_rate_unsafe speed
,0.0,0.0,0.0,Throckmorton County,cite_rate_unsafe speed
,0.0,0.04950495049504951,0.08823529411764706,Andrews County,cite_rate_unsafe speed
0.0,0.0,0.0,0.04878048780487805,Hardeman County,cite_rate_unsafe speed
0.0,0.0,0.0,0.013333333333333334,Runnels County,cite_rate_unsafe speed
,0.0,0.0,0.009259259259259259,San Augustine County,cite_rate_unsafe speed
,0.0,0.0,0.0,Stonewall County,cite_rate_unsafe speed
,0.0,0.0,0.0,Crane County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Swisher County,cite_rate_unsafe speed
0.0,0.02247191011235955,0.030303030303030304,0.013422818791946308,Wharton County,cite_rate_unsafe speed
,0.0,0.0,0.0,Stephens County,cite_rate_unsafe speed
,0.0,0.0,0.03529411764705882,Trinity County,cite_rate_unsafe speed
0.0,0.0,0.12244897959183673,0.19148936170212766,Jeff Davis County,cite_rate_unsafe speed
0.0,0.0,0.04081632653061224,0.0,Lee County,cite_rate_unsafe speed
0.0,0.0,0.0,0.034482758620689655,Aransas County,cite_rate_unsafe speed
,0.0,0.0,0.09090909090909091,Knox County,cite_rate_unsafe speed
0.0,0.0,0.09090909090909091,0.25,Dimmit County,cite_rate_unsafe speed
,0.015873015873015872,0.0,0.01593625498007968,Newton County,cite_rate_unsafe speed
0.0,0.0,0.017543859649122806,0.2,Willacy County,cite_rate_unsafe speed
,0.0,0.1111111111111111,0.0,Calhoun County,cite_rate_unsafe speed
,0.0,0.0,0.0,Upton County,cite_rate_unsafe speed
,0.0,0.0,0.014285714285714285,Hamilton County,cite_rate_unsafe speed
0.0,0.0,0.02564102564102564,0.018691588785046728,Matagorda County,cite_rate_unsafe speed
0.0,0.0,0.038834951456310676,0.017241379310344827,Frio County,cite_rate_unsafe speed
0.0,0.05,0.01775147928994083,0.016129032258064516,San Patricio County,cite_rate_unsafe speed
0.0,0.0,0.013157894736842105,0.019138755980861243,Austin County,cite_rate_unsafe speed
,,0.0,0.045454545454545456,San Saba County,cite_rate_unsafe speed
,0.0,0.0,0.009259259259259259,Lavaca County,cite_rate_unsafe speed
,0.0,0.0,0.0,Coke County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,King County,cite_rate_unsafe speed
,0.0,0.0,0.0,Briscoe County,cite_rate_unsafe speed
,0.0,0.0,0.0,Glasscock County,cite_rate_unsafe speed
,0.0,,0.0,Floyd County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Karnes County,cite_rate_unsafe speed
,,0.25,0.0,Cottle County,cite_rate_unsafe speed
,0.0,0.0,0.0,Winkler County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Sherman County,cite_rate_unsafe speed
,0.0,0.0,0.0,Irion County,cite_rate_unsafe speed
,0.0,0.1,0.0,Terrell County,cite_rate_unsafe speed
,,0.0,0.0,Foard County,cite_rate_unsafe speed
0.0,0.0,0.023255813953488372,0.0,Kenedy County,cite_rate_unsafe speed
,0.0,0.0,0.0,Motley County,cite_rate_unsafe speed
0.0,,0.0,0.0,Edwards County,cite_rate_unsafe speed
,0.0,0.0,0.0,Hansford County,cite_rate_unsafe speed
0.0,0.0,0.02631578947368421,0.0,Lynn County,cite_rate_unsafe speed
,,0.0,0.0,Cochran County,cite_rate_unsafe speed
,0.0,0.0,0.0,Loving County,cite_rate_unsafe speed
,0.0,0.0,0.0,Borden County,cite_rate_unsafe speed
0.0,0.0,0.0,0.00641025641025641,Hays County,cite_rate_fail to control speed
0.0,0.0,0.014925373134328358,0.003663003663003663,Wilson County,cite_rate_fail to control speed
0.0,,0.0,0.125,Tarrant County,cite_rate_fail to control speed
0.0,0.005291005291005291,0.024096385542168676,0.008743169398907104,Gregg County,cite_rate_fail to control speed
0.0,0.1111111111111111,0.0,0.0,Jackson County,cite_rate_fail to control speed
,0.0,0.0,0.005698005698005698,Jasper County,cite_rate_fail to control speed
0.0,0.014792899408284023,0.017130620985010708,0.011066398390342052,Harris County,cite_rate_fail to control speed
0.0,0.0,0.1,0.0,Gillespie County,cite_rate_fail to control speed
0.0,0.0,0.047619047619047616,0.02030456852791878,Cooke County,cite_rate_fail to control speed
0.0,0.0,0.0,0.006993006993006993,Panola County,cite_rate_fail to control speed
0.0,0.07142857142857142,0.0,0.0,Galveston County,cite_rate_fail to control speed
0.0,0.0,0.0,0.0,Madison County,cite_rate_fail to control speed
0.0,0.014184397163120567,0.0,0.012698412698412698,Harrison County,cite_rate_fail to control speed
0.004201680672268907,0.0033333333333333335,0.0,0.0044004400440044,Collin County,cite_rate_fail to control speed
0.0,0.0,0.03255813953488372,0.01953125,Atascosa County,cite_rate_fail to control speed
0.005813953488372093,0.0,0.0025252525252525255,0.0013083296990841692,Dallas County,cite_rate_fail to control speed
0.25925925925925924,0.2475,0.2111801242236025,0.2341614906832298,Brazoria County,cite_rate_fail to control speed
,0.0,0.03404255319148936,0.01652892561983471,Jim Wells County,cite_rate_fail to control speed
0.0,0.0,0.0,0.0,Freestone County,cite_rate_fail to control speed
0.02040816326530612,0.014367816091954023,0.016181229773462782,0.006642066420664207,Bell County,cite_rate_fail to control speed
,0.0,0.0,0.0,Mills County,cite_rate_fail to control speed
0.0,0.0,0.05263157894736842,0.010752688172043012,Palo Pinto County,cite_rate_fail to control speed
,0.0,0.043478260869565216,0.0,Bandera County,cite_rate_fail to control speed
0.0,0.0,0.021739130434782608,0.01032448377581121,Wise County,cite_rate_fail to control speed
0.0,0.0019047619047619048,0.0014255167498218105,0.002185932879002186,Montgomery County,cite_rate_fail to control speed
0.0,0.0,0.0,0.019417475728155338,Clay County,cite_rate_fail to control speed
0.0,0.0,0.0,0.0027529249827942187,Orange County,cite_rate_fail to control speed
0.0,0.0,0.02127659574468085,0.07142857142857142,Moore County,cite_rate_fail to control speed
,0.5,0.0,0.0,Blanco County,cite_rate_fail to control speed
0.0,0.0,0.022727272727272728,0.007194244604316547,Guadalupe County,cite_rate_fail to control speed
0.0,0.125,0.01904761904761905,0.0,Medina County,cite_rate_fail to control speed
,,0.0,0.0,Concho County,cite_rate_fail to control speed
0.0,0.0,0.0,0.014084507042253521,Carson County,cite_rate_fail to control speed
,0.0,0.008928571428571428,0.007874015748031496,Live Oak County,cite_rate_fail to control speed
0.0,0.0,0.022222222222222223,0.0,Kleberg County,cite_rate_fail to control speed
0.0,0.07142857142857142,0.014218009478672985,0.008620689655172414,Hidalgo County,cite_rate_fail to control speed
0.0,0.12903225806451613,0.0,0.027972027972027972,Cass County,cite_rate_fail to control speed
0.0,0.0,0.0,0.005988023952095809,Milam County,cite_rate_fail to control speed
0.0,0.05,0.041666666666666664,0.04950495049504951,Hudspeth County,cite_rate_fail to control speed
0.0,0.0,0.0,0.012121212121212121,Tyler County,cite_rate_fail to control speed
0.0,0.009259259259259259,0.013636363636363636,0.009278350515463918,Chambers County,cite_rate_fail to control speed
0.0,0.0,0.0,0.0043859649122807015,Randall County,cite_rate_fail to control speed
0.037037037037037035,0.0,0.0,0.004497751124437781,Hill County,cite_rate_fail to control speed
0.0,0.0,0.08585858585858586,0.061224489795918366,El Paso County,cite_rate_fail to control speed
0.0,0.0,0.0,0.0,Lampasas County,cite_rate_fail to control speed
0.0,0.0,0.0,0.024390243902439025,Anderson County,cite_rate_fail to control speed
,0.0,0.0625,0.04395604395604396,Bexar County,cite_rate_fail to control speed
0.0,0.06060606060606061,0.01818181818181818,0.01126126126126126,Nacogdoches County,cite_rate_fail to control speed
0.0,0.0,0.0,0.0027472527472527475,Grayson County,cite_rate_fail to control speed
0.0,0.0,0.1206896551724138,0.08823529411764706,Culberson County,cite_rate_fail to control speed
,,0.0,0.0,Shackelford County,cite_rate_fail to control speed
0.0,0.0,0.0,0.0035587188612099642,Hood County,cite_rate_fail to control speed
,0.0,0.0,0.00558659217877095,Taylor County,cite_rate_fail to control speed
0.0,0.0,0.0,0.047619047619047616,Wilbarger County,cite_rate_fail to control speed
0.0,0.013605442176870748,0.0,0.0056625141562853904,Bowie County,cite_rate_fail to control speed
,0.0,0.03225806451612903,0.02,Tom Green County,cite_rate_fail to control speed
0.0,0.0,0.0,0.005263157894736842,Victoria County,cite_rate_fail to control speed
0.0,0.014285714285714285,0.0,0.0034482758620689655,Coryell County,cite_rate_fail to control speed
,0.09090909090909091,0.0,0.01282051282051282,Wood County,cite_rate_fail to control speed
0.14285714285714285,0.0,0.017241379310344827,0.0,Ellis County,cite_rate_fail to control speed
,0.0,0.0,0.05405405405405406,Jack County,cite_rate_fail to control speed
0.0,0.0,0.0,0.017045454545454544,Wichita County,cite_rate_fail to control speed
,0.0,0.0,0.06818181818181818,Armstrong County,cite_rate_fail to control speed
0.038461538461538464,0.0,0.01694915254237288,0.040515653775322284,Williamson County,cite_rate_fail to control speed
0.0,0.0,0.0,0.032520325203252036,Eastland County,cite_rate_fail to control speed
0.2,0.045454545454545456,0.024390243902439025,0.005649717514124294,Polk County,cite_rate_fail to control speed
0.0,0.030303030303030304,0.014749262536873156,0.00530035335689046,Midland County,cite_rate_fail to control speed
0.0,0.0022935779816513763,0.00967741935483871,0.004433696090286175,Smith County,cite_rate_fail to control speed
,0.0,0.0,0.0,Lamar County,cite_rate_fail to control speed
