violation,total_stops,citations,citation_rate,white,hispanic,black,asian/pacific islander,unknown,other,stop_white,stop_hispanic,stop_black,stop_asian/pacific islander,stop_unknwon,stop_other,year,rate_white,rate_hispanic,rate_black,rate_asian/pacific islander,discrepancy
Disregard Stop Sign (#),12527,3135,0.2503,1685,1130,188,70,58,4,6924,4470,743,202,178,10,2010,0.2434,0.2528,0.253,0.3465,0.10309999999999997
Fail To Drive In Single Lane (#),8624,1053,0.1221,682,224,95,23,29,0,4103,3114,955,164,282,6,2010,0.1662,0.0719,0.0995,0.1402,0.09429999999999998
"Ride, Not Secured By Safety Belt-Passenger (When Required)",16019,9668,0.6035,3644,4775,872,99,272,6,6158,7492,1659,216,484,10,2010,0.5918,0.6373,0.5256,0.4583,0.179
Fail to Move Over or Slow Down for Certain Vehicles,12466,1539,0.1235,848,412,146,68,62,3,6479,3579,1387,421,586,14,2010,0.1309,0.1151,0.1053,0.1615,0.0562
Inoperable/Obscured Stop Lamp(s) (#),14268,48,0.0034,19,25,2,1,1,0,7773,4428,1558,247,250,12,2010,0.0024,0.0056,0.0013,0.004,0.0043
Use Of Vision Reducing Matter On Windows - Glass Coating Material,11089,1786,0.1611,555,1102,99,9,18,3,2570,7779,595,36,101,8,2010,0.216,0.1417,0.1664,0.25,0.10830000000000001
Unsafe Speed (#),6252,6081,0.9726,4013,1317,519,111,111,10,4107,1378,528,114,115,10,2010,0.9771,0.9557,0.983,0.9737,0.02729999999999999
Fail To Control Speed (#),6727,6671,0.9917,4548,1299,560,140,120,4,4589,1308,565,141,120,4,2010,0.9911,0.9931,0.9912,0.9929,0.0020000000000000018
Drive in Left Lane When Not Passing or Where Prohibited,18354,61,0.0033,36,13,9,3,0,0,7673,5539,3664,320,1135,23,2010,0.0047,0.0023,0.0025,0.0094,0.0071
Speeding Over Limit (#),815329,1076,0.0013,542,390,64,22,56,2,519684,184935,68846,13300,27423,1141,2011,0.001,0.0021,0.0009,0.0017,0.0012
Speeding-10% or More Above Posted Speed (#),292326,284656,0.9738,155700,82073,27478,8895,10072,438,160306,84228,28054,9009,10287,442,2011,0.9713,0.9744,0.9795,0.9873,0.015999999999999903
No/Improper License Plate Lamp,80053,36,0.0004,18,11,5,0,1,1,40687,27235,8528,959,2529,115,2011,0.0004,0.0004,0.0006,0.0,0.0006
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",31450,21199,0.6741,11489,6734,2118,187,651,20,18001,8874,3335,265,947,28,2011,0.6382,0.7588,0.6351,0.7057,0.12370000000000003
Operate Motor Vehicle Without License Plates (Or With One Plate),77606,1262,0.0163,823,245,133,50,10,1,48641,18137,7576,1908,1241,103,2011,0.0169,0.0135,0.0176,0.0262,0.012700000000000001
No/Non-Compliant Head Lamps (#),50948,65,0.0013,33,22,7,1,2,0,28964,13254,5573,1163,1914,80,2011,0.0011,0.0017,0.0013,0.0009,0.0007999999999999999
Improperly Placed Or Obstructed License Plate (#),34125,163,0.0048,76,65,15,5,2,0,13314,14816,4397,462,1096,40,2011,0.0057,0.0044,0.0034,0.0108,0.0074
Display Expired License Plates/Registration (#),26057,6392,0.2453,3903,1778,542,74,86,9,14875,8288,2155,336,376,27,2011,0.2624,0.2145,0.2515,0.2202,0.047900000000000026
No/Improper Mud Flap,13776,170,0.0123,80,54,31,1,4,0,6491,4877,1497,94,798,19,2011,0.0123,0.0111,0.0207,0.0106,0.0101
No/Improper Tail Lamp - not Motorcycle,21300,124,0.0058,57,47,13,3,4,0,12346,6099,1909,238,682,26,2011,0.0046,0.0077,0.0068,0.0126,0.008
Following Too Closely,30326,781,0.0258,445,198,84,27,24,3,11451,12105,4974,457,1286,53,2011,0.0389,0.0164,0.0169,0.0591,0.0427
Drive On Improved Shoulder When Prohibited,22079,262,0.0119,151,72,27,8,4,0,9085,9810,2174,300,687,23,2011,0.0166,0.0073,0.0124,0.0267,0.0194
Fail To Signal Lane Change,20057,196,0.0098,107,55,17,14,3,0,10496,6128,2193,444,765,31,2011,0.0102,0.009,0.0078,0.0315,0.0237
Disregard Stop Sign (#),13714,3197,0.2331,1666,1176,194,76,80,5,7752,4593,836,266,255,12,2011,0.2149,0.256,0.2321,0.2857,0.0708
Fail To Drive In Single Lane (#),9453,989,0.1046,611,210,107,30,31,0,4367,3490,1088,191,309,8,2011,0.1399,0.0602,0.0983,0.1571,0.09689999999999999
"Ride, Not Secured By Safety Belt-Passenger (When Required)",15978,10049,0.6289,3454,5110,978,170,322,15,5788,7567,1737,302,560,24,2011,0.5968,0.6753,0.563,0.5629,0.11240000000000006
Fail to Move Over or Slow Down for Certain Vehicles,12254,1452,0.1185,782,390,147,72,58,3,6248,3694,1350,395,551,16,2011,0.1252,0.1056,0.1089,0.1823,0.07669999999999999
Inoperable/Obscured Stop Lamp(s) (#),16825,40,0.0024,15,20,4,0,1,0,8689,5583,1814,393,333,13,2011,0.0017,0.0036,0.0022,0.0,0.0036
Use Of Vision Reducing Matter On Windows - Glass Coating Material,9975,1898,0.1903,718,1010,145,10,15,0,2767,6488,571,37,111,1,2011,0.2595,0.1557,0.2539,0.2703,0.11459999999999998
Unsafe Speed (#),5505,5332,0.9686,3392,1238,456,126,113,7,3467,1307,472,133,119,7,2011,0.9784,0.9472,0.9661,0.9474,0.031200000000000006
Fail To Control Speed (#),6803,6603,0.9706,4436,1359,511,161,127,9,4545,1409,540,165,135,9,2011,0.976,0.9645,0.9463,0.9758,0.02969999999999995
Drive in Left Lane When Not Passing or Where Prohibited,17427,88,0.005,46,23,15,3,1,0,7613,4499,3854,405,1036,20,2011,0.006,0.0051,0.0039,0.0074,0.0035000000000000005
Speeding Over Limit (#),752908,4217,0.0056,2262,1318,289,105,237,6,492370,160410,64108,12220,22371,1409,2012,0.0046,0.0082,0.0045,0.0086,0.0041
Speeding-10% or More Above Posted Speed (#),288015,278169,0.9658,153515,80157,25819,8830,9273,572,159383,82956,26550,9014,9518,591,2012,0.9632,0.9663,0.9725,0.9796,0.01640000000000008
No/Improper License Plate Lamp,61001,29,0.0005,18,9,1,1,0,0,31748,19385,7063,848,1857,100,2012,0.0006,0.0005,0.0001,0.0012,0.0010999999999999998
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",30087,19976,0.6639,10610,6537,2028,217,559,25,17036,8682,3179,330,818,42,2012,0.6228,0.7529,0.6379,0.6576,0.1301
Operate Motor Vehicle Without License Plates (Or With One Plate),69238,1179,0.017,815,210,90,51,11,2,43840,15830,6538,1817,1102,111,2012,0.0186,0.0133,0.0138,0.0281,0.0148
No/Non-Compliant Head Lamps (#),46970,46,0.001,17,17,6,2,4,0,26512,12442,5250,1031,1652,81,2012,0.0006,0.0014,0.0011,0.0019,0.0013
Improperly Placed Or Obstructed License Plate (#),30191,260,0.0086,125,85,39,8,3,0,12255,12211,4290,427,959,49,2012,0.0102,0.007,0.0091,0.0187,0.011700000000000002
Display Expired License Plates/Registration (#),21968,5487,0.2498,3357,1535,432,93,65,5,12654,6768,1872,333,314,26,2012,0.2653,0.2268,0.2308,0.2793,0.05249999999999999
No/Improper Mud Flap,12203,186,0.0152,82,77,25,1,1,0,5904,4167,1409,62,634,26,2012,0.0139,0.0185,0.0177,0.0161,0.0046
No/Improper Tail Lamp - not Motorcycle,19538,150,0.0077,72,56,14,2,6,0,11405,5366,1857,277,604,29,2012,0.0063,0.0104,0.0075,0.0072,0.0040999999999999995
Following Too Closely,26624,785,0.0295,457,221,66,22,18,1,10489,9695,4879,401,1105,55,2012,0.0436,0.0228,0.0135,0.0549,0.0414
Drive On Improved Shoulder When Prohibited,19255,388,0.0202,207,102,56,16,6,1,8216,7922,2113,317,647,40,2012,0.0252,0.0129,0.0265,0.0505,0.0376
Fail To Signal Lane Change,17731,261,0.0147,143,73,25,13,7,0,9339,5091,2131,461,673,36,2012,0.0153,0.0143,0.0117,0.0282,0.0165
Disregard Stop Sign (#),13914,3542,0.2546,1839,1280,241,105,68,9,7676,4841,862,279,233,23,2012,0.2396,0.2644,0.2796,0.3763,0.13670000000000002
Fail To Drive In Single Lane (#),8935,1246,0.1395,773,249,154,26,39,5,4363,2893,1189,195,269,26,2012,0.1772,0.0861,0.1295,0.1333,0.0911
"Ride, Not Secured By Safety Belt-Passenger (When Required)",15248,9729,0.6381,3328,4983,940,159,300,18,5542,7153,1733,285,498,36,2012,0.6005,0.6966,0.5424,0.5579,0.1542
Fail to Move Over or Slow Down for Certain Vehicles,10917,1628,0.1491,892,445,143,72,72,4,5761,3046,1227,396,473,14,2012,0.1548,0.1461,0.1165,0.1818,0.06529999999999998
Inoperable/Obscured Stop Lamp(s) (#),18149,64,0.0035,27,29,5,0,3,0,9542,5869,1958,418,339,23,2012,0.0028,0.0049,0.0026,0.0,0.0049
Use Of Vision Reducing Matter On Windows - Glass Coating Material,8065,1776,0.2202,704,919,115,14,20,3,2555,4912,464,36,85,11,2012,0.2755,0.1871,0.2478,0.3889,0.20180000000000003
Unsafe Speed (#),5604,5465,0.9752,3410,1326,480,119,119,11,3473,1385,489,122,124,11,2012,0.9819,0.9574,0.9816,0.9754,0.024499999999999966
Fail To Control Speed (#),7511,7231,0.9627,4742,1555,595,165,161,12,4905,1614,640,174,164,13,2012,0.9668,0.9634,0.9297,0.9483,0.03710000000000002
Drive in Left Lane When Not Passing or Where Prohibited,19150,105,0.0055,59,32,11,1,2,0,8313,5005,4317,452,1009,54,2012,0.0071,0.0064,0.0025,0.0022,0.0049
Speeding Over Limit (#),657553,4110,0.0063,2520,1031,245,111,189,14,425190,146349,54162,10615,19648,1573,2013,0.0059,0.007,0.0045,0.0105,0.006000000000000001
